Country/Territory,UN Region,IMF[5][6],IMF[5][6],World Bank[7],World Bank[7],CIA[8][9][10],CIA[8][9][10]
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
Ireland,Europe,145196,2023,106352,2021,102500,2021
Luxembourg,Europe,142490,2023,134545,2021,115700,2021
Liechtenstein,Europe,—,—,—,—,139100,2009
Singapore,Asia,133895,2023,116487,2021,106000,2021
Qatar,Asia,124834,2023,102018,2021,92200,2021
Monaco,Europe,—,—,—,—,115700,2015
Macau,Asia,89558,2023,71186,2021,64800,2021
United Arab Emirates,Asia,88221,2023,76609,2021,69700,2021
Bermuda,Americas,—,—,88186,2021,80300,2021
Switzerland,Europe,87963,2023,77274,2021,71000,2021
Isle of Man,Europe,—,—,—,—,84600,2014
Norway,Europe,82655,2023,79201,2021,65700,2021
United States,Americas,80035,2023,69288,2021,63700,2021
San Marino,Europe,78926,2023,59451,2020,56400,2020
Brunei,Asia,75583,2023,66055,2021,60100,2021
Hong Kong,Asia,74598,2023,65892,2021,60000,2021
Cayman Islands,Americas,—,—,74155,2021,67500,2021
Denmark,Europe,73386,2023,64651,2021,58000,2021
Taiwan,Asia,73344,2023,—,—,50500,2017
Netherlands,Europe,72973,2023,63768,2021,56600,2021
Falkland Islands,Americas,—,—,—,—,70800,2015
Iceland,Europe,69779,2023,57612,2021,53600,2020
Austria,Europe,69502,2023,58431,2021,54100,2021
Andorra,Europe,68998,2023,—,—,49900,2015
Germany,Europe,66132,2023,57881,2021,53100,2021
Sweden,Europe,65842,2023,59324,2021,53600,2021
Belgium,Europe,65501,2023,58905,2021,51700,2021
Australia,Oceania,65366,2023,56281,2021,49800,2021
Saudi Arabia,Asia,64836,2023,48711,2021,44300,2021
Malta,Europe,61939,2023,48582,2021,44700,2021
Gibraltar,Europe,—,—,—,—,61700,2014
Finland,Europe,60897,2023,55013,2021,48800,2021
Guyana,Americas,60648,2023,24087,2021,21900,2021
Bahrain,Asia,60596,2023,54257,2021,49400,2021
Canada,Americas,60177,2023,52085,2021,47900,2021
France,Europe,58828,2023,50541,2021,45000,2021
European Union[n 1],Europe,56929,2023,48481,2021,44436,2019
South Korea,Asia,56706,2023,47243,2021,44200,2021
Jersey,Europe,—,—,—,—,56600,2016
United Kingdom,Europe,56471,2023,49675,2021,45000,2021
Israel,Asia,54997,2023,43722,2021,42100,2021
Cyprus,Asia,54611,[n 2]2023,44110,[n 2]2021,41700,[n 2]2021
Italy,Europe,54216,2023,45902,2021,41900,2021
New Zealand,Oceania,54046,2023,46420,2021,42900,2021
Kuwait,Asia,53037,2023,46328,2020,43900,2020
Slovenia,Europe,52641,2023,43603,2021,40000,2021
Guernsey,Europe,—,—,—,—,52500,2014
Japan,Asia,51809,2023,42940,2021,40800,2021
Czech Republic,Europe,50961,2023,45094,2021,40700,2020
Aruba,Americas,49627,2023,42698,2021,38900,2021
Spain,Europe,49448,2023,40699,2021,37900,2021
Lithuania,Europe,49266,2023,42581,2021,39300,2021
Estonia,Europe,46385,2023,42138,2021,38700,2021
Saint Pierre and Miquelon,Americas,—,—,—,—,46200,2006
Poland,Europe,45343,2023,37837,2021,34900,2021
Portugal,Europe,44707,2023,35799,2021,33700,2021
Bahamas,Americas,43913,2023,33189,2021,30200,2021
Hungary,Europe,43907,2023,36753,2021,33600,2021
Puerto Rico,Americas,43845,2023,35850,2021,32600,2021
Croatia,Europe,42531,2023,34314,2021,31600,2021
Oman,Asia,42188,2023,37676,2021,34300,2021
Greenland,Americas,—,—,—,—,41800,2015
Romania,Europe,41634,2023,35870,2021,30800,2021
Slovakia,Europe,41515,2023,33010,2021,31900,2021
Turkey,Asia,41412,2023,30737,2021,31500,2021
Latvia,Europe,40256,2023,34444,2021,32100,2021
Panama,Americas,40177,2023,31901,2021,29000,2021
Faroe Islands,Europe,—,—,—,—,40000,2014
Seychelles,Africa,39662,2023,31596,2021,28800,2021
Greece,Europe,39478,2023,31364,2021,29500,2021
U.S. Virgin Islands,Americas,—,—,—,—,37000,2016
Malaysia,Asia,36847,2023,28930,2021,26300,2021
Maldives,Asia,36358,2023,20615,2021,18800,2021
Sint Maarten (Dutch part),Americas,—,—,35973,2018,35300,2018
Guam,Oceania,—,—,—,—,35600,2016
Russia,Europe,34837,2023,32863,2021,28000,2021
British Virgin Islands,Americas,—,—,—,—,34200,2017
Montserrat,Americas,—,—,—,—,34000,2011
Kazakhstan,Asia,32688,2023,28685,2021,26100,2021
Trinidad and Tobago,Americas,32054,2023,25309,2021,23000,2021
Bulgaria,Europe,32006,2023,27926,2021,24400,2020
New Caledonia,Oceania,—,—,—,—,31100,2015
Saint Kitts and Nevis,Americas,29662,2023,29097,2021,26500,2021
Chile,Americas,29613,2023,28685,2021,25400,2021
Mauritius,Africa,29164,2023,23035,2021,21000,2021
Uruguay,Americas,28740,2023,25049,2021,22800,2021
Montenegro,Europe,27761,2023,23285,2021,20600,2021
Argentina,Americas,27261,2023,23650,2021,21500,2021
Costa Rica,Americas,26422,2023,23320,2021,21200,2021
Dominican Republic,Americas,25896,2023,20463,2021,18600,2021
Serbia,Europe,25432,2023,21504,2021,19800,2021
Libya,Africa,24599,2023,24131,2021,22000,2021
Northern Mariana Islands,Oceania,—,—,—,—,24500,2016
Antigua and Barbuda,Americas,24012,2023,21010,2021,19100,2021
Mexico,Americas,23820,2023,20277,2021,19100,2021
Belarus,Europe,23447,2023,21699,2021,19800,2021
China,Asia,23382,[n 3]2023,19338,[n 4]2021,17600,[n 3]2021
Curaçao,Americas,—,—,22832,2021,20800,2021
Thailand,Asia,22675,2023,18761,2021,17100,2021
World,World,22226,[i]2023,18604,2021,17500,2017
Georgia,Asia,21922,[n 5]2023,17014,[n 5]2021,15500,[n 5]2021
North Macedonia,Europe,21111,2023,18222,2021,16500,2021
Turks and Caicos Islands,Americas,—,—,20338,2021,18500,2021
Grenada,Americas,20075,2023,15038,2021,13700,2021
Turkmenistan,Asia,19974,2023,15625,2019,15000,2019
Bosnia and Herzegovina,Europe,19604,2023,17377,2021,15700,2021
Iran,Asia,19548,2023,16484,2021,12400,2020
Armenia,Asia,19489,2023,15593,2021,14200,2021
Colombia,Americas,19460,2023,16819,2021,14600,2021
Botswana,Africa,19398,2023,16304,2021,14800,2021
Saint Martin (French part),Americas,—,—,—,—,19300,2005
Gabon,Africa,19197,2023,15176,2021,13800,2021
Albania,Europe,19029,2023,15709,2021,14500,2021
Barbados,Americas,18858,2023,15111,2021,13800,2021
Brazil,Americas,18686,2023,16031,2021,14100,2020
Azerbaijan,Asia,18669,2023,15855,2021,14400,2021
Equatorial Guinea,Africa,18510,2023,16080,2021,14600,2021
Saint Lucia,Americas,18435,2023,14332,2021,13000,2021
Suriname,Americas,18427,2023,16223,2021,14800,2021
Saint Vincent and the Grenadines,Americas,17793,2023,15045,2021,13700,2021
French Polynesia,Oceania,—,—,—,—,17000,2015
Egypt,Africa,16979,2023,12706,2021,11600,2021
Moldova,Europe,16840,[n 6]2023,15391,[n 6]2021,14000,[n 6]2021
Cook Islands,Oceania,—,—,—,—,16700,2016
Palau,Oceania,16394,2023,15145,2021,13800,2021
Peru,Americas,16132,2023,13749,2021,12500,2021
South Africa,Africa,16091,2023,14624,2021,13300,2021
Indonesia,Asia,15855,2023,13027,2021,11900,2021
Fiji,Oceania,15727,2023,11381,2021,10400,2021
Kosovo,Europe,15620,2023,13056,2021,11900,2021
Paraguay,Americas,15578,2023,15037,2021,13700,2021
Mongolia,Asia,14939,2023,12819,2021,11700,2021
Vietnam,Asia,14458,2023,11676,2021,10600,2021
Sri Lanka,Asia,14223,2023,14707,2021,13400,2021
Bhutan,Asia,14170,2023,11983,2021,10900,2021
Dominica,Americas,14161,2023,11951,2021,10900,2021
Ukraine,Europe,13901,[n 7]2023,14220,[n 7]2021,12900,[n 7]2021
Ecuador,Americas,13513,2023,11721,2021,10700,2021
Algeria,Africa,13507,2023,12128,2021,11000,2021
Tunisia,Africa,13270,2023,11283,2021,10400,2021
Iraq,Asia,12927,2023,9846,2021,9000,2021
Jordan,Asia,12893,2023,10133,2021,9200,2021
Jamaica,Americas,12887,2023,10543,2021,9600,2021
Cuba,Americas,—,—,—,—,12300,2016
Anguilla,Americas,—,—,—,—,12200,2008
El Salvador,Americas,11647,2023,9982,2021,9100,2021
Eswatini,Africa,11492,2023,9730,2021,8900,2021
Namibia,Africa,11440,2023,10039,2021,9100,2021
Philippines,Asia,11420,2023,8893,2021,8100,2021
Lebanon,Asia,11377,2020,14257,2021,13000,2021
Nauru,Oceania,11342,2023,13125,2021,11900,2021
American Samoa,Oceania,—,—,—,—,11200,2016
Belize,Americas,10939,2023,9627,2021,8800,2021
Guatemala,Americas,10546,2023,9807,2021,8900,2021
Morocco,Africa,10460,2023,8853,2021,8100,[n 8]2021
Bolivia,Americas,10327,2023,8846,2021,8100,2021
Uzbekistan,Asia,10308,2023,8497,2021,7700,2021
Laos,Asia,9801,2023,8621,2021,7800,2021
Cape Verde,Africa,9661,[n 9]2023,6717,[n 9]2021,6100,[n 9]2021
India,Asia,9073,2023,7242,2021,6600,2021
Bangladesh,Asia,8663,2023,6494,2021,5900,2021
Venezuela,Americas,8028,2023,17402,2011,7704,2018
"Saint Helena, Ascension and Tristan da Cunha",Africa,—,—,—,—,7800,2010
Nicaragua,Americas,7601,2023,6195,2021,5600,2021
Mauritania,Africa,7437,2023,5831,2021,5300,2021
Honduras,Americas,7228,2023,6122,2021,5600,2021
Angola,Africa,7222,2023,6491,2021,5900,2021
Tonga,Oceania,7125,2023,6749,2021,6100,2021
Ivory Coast,Africa,7011,2023,5850,2021,5300,2021
Ghana,Africa,6974,2023,5971,2021,5400,2021
Djibouti,Africa,6894,2023,5398,2021,4900,2021
Pakistan,Asia,6836,2023,5748,2021,5200,2021
Palestine,Asia,6688,[n 10]2023,6200,[n 10]2021,5600,[n 11]2021
Kenya,Africa,6569,2023,5211,2021,4700,2021
Samoa,Oceania,6324,2023,6080,2021,5500,2021
Kyrgyzstan,Asia,6250,2023,5290,2021,4800,2021
Nigeria,Africa,6178,2023,5408,2021,4900,2021
Cambodia,Asia,6092,2023,4784,2021,4400,2021
Tokelau,Oceania,—,—,—,—,6004,2017
Niue,Oceania,—,—,—,—,5800,2003
Tuvalu,Oceania,5797,2023,5410,2021,4900,2021
Tajikistan,Asia,5293,2023,4288,2021,3900,2021
Congo,Africa,5155,2023,3553,2021,3200,2021
Myanmar,Asia,5132,2023,4430,2021,4400,[n 12]2021
Nepal,Asia,5101,2023,4210,2021,3800,2021
São Tomé and Príncipe,Africa,4874,2023,4452,2021,4100,2020
Marshall Islands,Oceania,4669,2023,6550,2021,6000,2021
Cameroon,Africa,4665,2023,4065,2021,3700,2021
Papua New Guinea,Oceania,4516,2023,4040,2021,3700,2022
Senegal,Africa,4515,2023,3840,2021,3500,2021
Sudan,Africa,4471,2023,4066,2021,3700,2021
Benin,Africa,4300,2023,3649,2021,3300,2021
Zambia,Africa,4041,2023,3556,2021,3200,2021
Micronesia,Oceania,3931,2023,3642,2021,3300,2021
Wallis and Futuna,Oceania,—,—,—,—,3800,2004
Ethiopia,Africa,3724,2023,2548,2021,2300,2021
East Timor,Asia,3637,2023,5529,2021,5000,2021
Tanzania,Africa,3600,2023,2836,2021,2600,2021
Comoros,Africa,3463,2023,3547,2021,3200,2021
Lesotho,Africa,3251,2023,2522,2021,2300,2021
Haiti,Americas,3248,2023,3153,2021,2900,2021
Uganda,Africa,3224,2023,2468,2021,2200,2021
Guinea,Africa,3218,2023,2901,2021,2600,2021
Rwanda,Africa,3090,2023,2460,2021,2200,2021
Guinea-Bissau,Africa,3072,2023,2012,2021,1800,2021
Vanuatu,Oceania,3001,2023,3057,2021,2800,2021
Syria,Asia,6374,[11]2010,—,—,2900,2015
Gambia,Africa,2804,2023,2281,2021,2100,2021
Togo,Africa,2754,2023,2334,2021,2100,2021
Burkina Faso,Africa,2726,2023,2395,2021,2200,2021
Mali,Africa,2656,2023,2330,2021,2100,2021
Zimbabwe,Africa,2627,2023,2324,2021,2100,2021
Afghanistan,Asia,2456,2020,1666,2021,1500,2021
Solomon Islands,Oceania,2414,2023,2649,2021,2400,2021
Kiribati,Oceania,2381,2023,2128,2021,1900,2021
Eritrea,Africa,2188,2023,1629,2011,1600,2017
Sierra Leone,Africa,2082,2023,1774,2021,1600,2021
Yemen,Asia,2042,2023,3437,2013,2500,2017
Madagascar,Africa,1916,2023,1608,2021,1500,2021
Liberia,Africa,1788,2023,1564,2021,1400,2021
Chad,Africa,1787,2023,1566,2021,1400,2021
North Korea,Asia,—,—,—,—,1700,2015
Malawi,Africa,1682,2023,1638,2021,1500,2021
Niger,Africa,1600,2023,1304,2021,1200,2021
Mozambique,Africa,1556,2023,1348,2021,1200,2021
DR Congo,Africa,1474,2023,1180,2021,1100,2021
Somalia,Africa,1374,2023,1249,2021,1100,2021
Central African Republic,Africa,1127,2023,920,2021,800,2021
Burundi,Africa,891,2023,775,2021,700,2021
South Sudan,Africa,516,2023,1182,2015,1600,2017
